siteid,sitename,siteengname,county,township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",溶氧(電極法),"Dissolved Oxygen",DO,8.0,mg/L,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",懸浮固體,"Suspended Solid",SS,352,mg/L,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",氣溫,Temperature,TMP,28.2,℃,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",導電度,Conductivity,EC,548,μmho/cm25℃,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",濁度,Turbidity,TB,-,NTU,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",酸鹼值,pH,pH,8.04," ",
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",水溫,"Water Temperature",WT,23.6,℃,
1724,歪仔歪橋,"Waizihwai Bridge",宜蘭縣,,蘭陽溪流域,羅東溪,121.7530833,24.7028333,326199.48,2733072.79,"2025-05-09 09:17:35",河川污染分類指標,"River Pollution Index",RPI,3.25,,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",汞,Mercury,Hg,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",六價鉻,"Hexavalent Chromium",Cr6,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",銀,Silver,Ag,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",硒,Selenium,Se,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",鎘,Cadmium,Cd,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",砷,Arsenic,As,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",鉛,Lead,Pb,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",鉻,Chromium,Cr,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",鎳,Nickel,Ni,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",銅,Copper,Cu,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",鋅,Zinc,Zn,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",錳,Manganese,Mn,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",大腸桿菌群,"Coliform Group",Coli_G,-,CFU/100mL,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",總磷,Total-Phosphate,TP,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",氯鹽,Chloride,Cl,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",總氮,"Total Nitrogen",TN,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",總凱氏氮,TKN,TKN,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",氨氮,NH3-N,NH3_N,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",總有機碳,"Total Organic Carbon",TOC,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",生化需氧量,"Biochemical Oxygen Demand",BOD5,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",懸浮固體,"Suspended Solid",SS,-,mg/L,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",氣溫,Temperature,TMP,38.8,℃,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",導電度,Conductivity,EC,-,μmho/cm25℃,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",濁度,Turbidity,TB,-,NTU,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",酸鹼值,pH,pH,-," ",
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",水溫,"Water Temperature",WT,-,℃,
1686,成德大橋,"Chengde Bridge",屏東縣,,東港溪流域,東港溪,120.5886944,22.6136111,207716.81,2501556.54,"2025-05-23 12:24:00",河川污染分類指標,"River Pollution Index",RPI,-,,
1685,永安橋,"Yungan Bridge",臺南市,,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,"2025-05-06 10:53:00",汞,Mercury,Hg,-,mg/L,
1685,永安橋,"Yungan Bridge",臺南市,,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,"2025-05-06 10:53:00",六價鉻,"Hexavalent Chromium",Cr6,-,mg/L,
1685,永安橋,"Yungan Bridge",臺南市,,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,"2025-05-06 10:53:00",銀,Silver,Ag,-,mg/L,
1685,永安橋,"Yungan Bridge",臺南市,,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,"2025-05-06 10:53:00",硒,Selenium,Se,-,mg/L,
1685,永安橋,"Yungan Bridge",臺南市,,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,"2025-05-06 10:53:00",鎘,Cadmium,Cd,-,mg/L,
1685,永安橋,"Yungan Bridge",臺南市,,鹽水溪流域,鹽水溪,120.2395000,23.0513889,172067.35,2550176.11,"2025-05-06 10:53:00",砷,Arsenic,As,-,mg/L,
